Source,CH1,CH2
Second,Value,Value
+3.112000E-07,+4.720000E+00,+1.192093E-07
+3.132000E-07,+4.720000E+00,+1.192093E-07
+3.152000E-07,+4.720000E+00,+1.192093E-07
+3.172000E-07,+4.720000E+00,+1.192093E-07
+3.192000E-07,+4.640000E+00,+1.192093E-07
+3.212000E-07,+4.720000E+00,+1.192093E-07
+3.232000E-07,+4.720000E+00,+1.192093E-07
+3.252000E-07,+4.720000E+00,+1.192093E-07
+3.272000E-07,+4.720000E+00,+1.192093E-07
+3.292000E-07,+4.720000E+00,+1.192093E-07
+3.312000E-07,+4.720000E+00,+1.192093E-07
+3.332000E-07,+4.720000E+00,+1.192093E-07
+3.352000E-07,+4.720000E+00,+1.192093E-07
+3.372000E-07,+4.720000E+00,+1.192093E-07
+3.392000E-07,+4.720000E+00,+1.192093E-07
+3.412000E-07,+4.720000E+00,+1.192093E-07
+3.432000E-07,+4.720000E+00,+1.192093E-07
+3.452000E-07,+4.720000E+00,+1.192093E-07
+3.472000E-07,+4.720000E+00,+1.192093E-07
+3.492000E-07,+4.720000E+00,+1.192093E-07
+3.512000E-07,+4.640000E+00,+1.192093E-07
+3.532000E-07,+4.720000E+00,+1.192093E-07
+3.552000E-07,+4.720000E+00,+1.192093E-07
+3.572000E-07,+4.720000E+00,+1.192093E-07
+3.592000E-07,+4.720000E+00,+1.192093E-07
+3.612000E-07,+4.720000E+00,+1.192093E-07
+3.632000E-07,+4.720000E+00,+1.192093E-07
+3.652000E-07,+4.720000E+00,+1.192093E-07
+3.672000E-07,+4.720000E+00,+1.192093E-07
+3.692000E-07,+4.720000E+00,+1.192093E-07
+3.712000E-07,+4.720000E+00,+1.192093E-07
+3.732000E-07,+4.720000E+00,+1.192093E-07
+3.752000E-07,+4.720000E+00,+1.192093E-07
+3.772000E-07,+4.720000E+00,+1.192093E-07
+3.792000E-07,+4.720000E+00,+1.192093E-07
+3.812000E-07,+4.720000E+00,+1.192093E-07
+3.832000E-07,+4.720000E+00,+1.192093E-07
+3.852000E-07,+4.720000E+00,+1.192093E-07
+3.872000E-07,+4.720000E+00,+1.192093E-07
+3.892000E-07,+4.720000E+00,+1.192093E-07
+3.912000E-07,+4.640000E+00,+1.192093E-07
+3.932000E-07,+4.720000E+00,+1.192093E-07
+3.952000E-07,+4.720000E+00,+1.192093E-07
+3.972000E-07,+4.720000E+00,+1.192093E-07
+3.992000E-07,+4.720000E+00,+1.192093E-07
+4.012000E-07,+4.720000E+00,+1.192093E-07
+4.032000E-07,+4.720000E+00,+1.192093E-07
+4.052000E-07,+4.720000E+00,+1.192093E-07
+4.072000E-07,+4.720000E+00,+1.192093E-07
+4.092000E-07,+4.720000E+00,+1.192093E-07
+4.112000E-07,+4.720000E+00,+1.192093E-07
+4.132000E-07,+4.720000E+00,+1.192093E-07
+4.152000E-07,+4.720000E+00,+1.192093E-07
+4.172000E-07,+4.720000E+00,+1.192093E-07
+4.192000E-07,+4.720000E+00,-7.999992E-02
+4.212000E-07,+4.720000E+00,+1.192093E-07
+4.232000E-07,+4.720000E+00,+1.192093E-07
+4.252000E-07,+4.720000E+00,+1.192093E-07
+4.272000E-07,+4.720000E+00,+1.192093E-07
+4.292000E-07,+4.720000E+00,+1.192093E-07
+4.312000E-07,+4.720000E+00,+1.192093E-07
+4.332000E-07,+4.720000E+00,+1.192093E-07
+4.352000E-07,+4.720000E+00,+1.192093E-07
+4.372000E-07,+4.720000E+00,+1.192093E-07
+4.392000E-07,+4.720000E+00,+1.192093E-07
+4.412000E-07,+4.720000E+00,+1.192093E-07
+4.432000E-07,+4.720000E+00,+1.192093E-07
+4.452000E-07,+4.720000E+00,+1.192093E-07
+4.472000E-07,+4.720000E+00,+1.192093E-07
+4.492000E-07,+4.720000E+00,+1.192093E-07
+4.512000E-07,+4.720000E+00,+1.192093E-07
+4.532000E-07,+4.720000E+00,+1.192093E-07
+4.552000E-07,+4.720000E+00,+1.192093E-07
+4.572000E-07,+4.720000E+00,+1.192093E-07
+4.592000E-07,+4.720000E+00,+1.192093E-07
+4.612000E-07,+4.720000E+00,+1.192093E-07
+4.632000E-07,+4.640000E+00,+1.192093E-07
+4.652000E-07,+4.640000E+00,+1.192093E-07
+4.672000E-07,+4.720000E+00,+1.192093E-07
+4.692000E-07,+4.720000E+00,+1.192093E-07
+4.712000E-07,+4.720000E+00,+1.192093E-07
+4.732000E-07,+4.720000E+00,+1.192093E-07
+4.752000E-07,+4.720000E+00,+1.192093E-07
+4.772000E-07,+4.720000E+00,+1.192093E-07
+4.792000E-07,+4.720000E+00,+1.192093E-07
+4.812000E-07,+4.720000E+00,+1.192093E-07
+4.832000E-07,+4.640000E+00,+1.192093E-07
+4.852000E-07,+4.720000E+00,+1.192093E-07
+4.872000E-07,+4.720000E+00,+1.192093E-07
+4.892000E-07,+4.720000E+00,+1.192093E-07
+4.912000E-07,+4.720000E+00,+1.192093E-07
+4.932000E-07,+4.720000E+00,+8.000004E-02
+4.952000E-07,+4.720000E+00,+8.000004E-02
+4.972000E-07,+4.720000E+00,+2.400001E-01
+4.992000E-07,+4.720000E+00,+4.000001E-01
+5.012000E-07,+4.720000E+00,+5.600001E-01
+5.032000E-07,+4.720000E+00,+7.200000E-01
+5.052000E-07,+4.720000E+00,+1.040000E+00
+5.072000E-07,+4.800000E+00,+1.280000E+00
+5.092000E-07,+4.800000E+00,+1.600000E+00
+5.112000E-07,+4.800000E+00,+1.920000E+00
+5.132000E-07,+4.880000E+00,+2.320000E+00
+5.152000E-07,+4.960000E+00,+2.720000E+00
+5.172000E-07,+5.040000E+00,+3.120000E+00
+5.192000E-07,+5.120000E+00,+3.520000E+00
+5.212000E-07,+5.200000E+00,+3.840000E+00
+5.232000E-07,+5.200000E+00,+4.240000E+00
+5.252000E-07,+5.200000E+00,+4.560000E+00
+5.272000E-07,+5.200000E+00,+4.880000E+00
+5.292000E-07,+5.200000E+00,+5.200000E+00
+5.312000E-07,+5.200000E+00,+5.440000E+00
+5.332000E-07,+5.200000E+00,+5.760000E+00
+5.352000E-07,+5.120000E+00,+6.000000E+00
+5.372000E-07,+5.280000E+00,+6.160000E+00
+5.392000E-07,+5.280000E+00,+6.400000E+00
+5.412000E-07,+5.280000E+00,+6.560000E+00
+5.432000E-07,+5.360000E+00,+6.720000E+00
+5.452000E-07,+5.360000E+00,+6.800000E+00
+5.472000E-07,+5.360000E+00,+6.880000E+00
+5.492000E-07,+5.360000E+00,+6.800000E+00
+5.512000E-07,+5.280000E+00,+6.800000E+00
+5.532000E-07,+5.280000E+00,+6.640000E+00
+5.552000E-07,+5.280000E+00,+6.480000E+00
+5.572000E-07,+5.200000E+00,+6.320000E+00
+5.592000E-07,+5.120000E+00,+6.080000E+00
+5.612000E-07,+4.960000E+00,+5.840000E+00
+5.632000E-07,+4.800000E+00,+5.600000E+00
+5.652000E-07,+4.560000E+00,+5.360000E+00
+5.672000E-07,+4.400000E+00,+5.040000E+00
+5.692000E-07,+4.320000E+00,+4.720000E+00
+5.712000E-07,+4.240000E+00,+4.480000E+00
+5.732000E-07,+4.320000E+00,+4.160000E+00
+5.752000E-07,+4.320000E+00,+3.920000E+00
+5.772000E-07,+4.400000E+00,+3.680000E+00
+5.792000E-07,+4.480000E+00,+3.520000E+00
+5.812000E-07,+4.560000E+00,+3.280000E+00
+5.832000E-07,+4.480000E+00,+3.120000E+00
+5.852000E-07,+4.480000E+00,+2.960000E+00
+5.872000E-07,+4.560000E+00,+2.800000E+00
+5.892000E-07,+4.480000E+00,+2.560000E+00
+5.912000E-07,+4.480000E+00,+2.400000E+00
+5.932000E-07,+4.480000E+00,+2.240000E+00
+5.952000E-07,+4.480000E+00,+2.160000E+00
+5.972000E-07,+4.560000E+00,+2.000000E+00
+5.992000E-07,+4.480000E+00,+1.920000E+00
+6.012000E-07,+4.560000E+00,+1.760000E+00
+6.032000E-07,+4.560000E+00,+1.680000E+00
+6.052000E-07,+4.560000E+00,+1.600000E+00
+6.072000E-07,+4.560000E+00,+1.520000E+00
+6.092000E-07,+4.560000E+00,+1.360000E+00
+6.112000E-07,+4.560000E+00,+1.280000E+00
+6.132000E-07,+4.640000E+00,+1.120000E+00
+6.152000E-07,+4.640000E+00,+1.040000E+00
+6.172000E-07,+4.640000E+00,+1.040000E+00
+6.192000E-07,+4.560000E+00,+9.600000E-01
+6.212000E-07,+4.560000E+00,+9.600000E-01
+6.232000E-07,+4.560000E+00,+8.800001E-01
+6.252000E-07,+4.560000E+00,+8.000001E-01
+6.272000E-07,+4.560000E+00,+8.000001E-01
+6.292000E-07,+4.640000E+00,+7.200000E-01
+6.312000E-07,+4.640000E+00,+6.400001E-01
+6.332000E-07,+4.640000E+00,+6.400001E-01
+6.352000E-07,+4.640000E+00,+5.600001E-01
+6.372000E-07,+4.640000E+00,+5.600001E-01
+6.392000E-07,+4.640000E+00,+5.600001E-01
+6.412000E-07,+4.640000E+00,+4.800000E-01
+6.432000E-07,+4.640000E+00,+4.800000E-01
+6.452000E-07,+4.640000E+00,+4.800000E-01
+6.472000E-07,+4.640000E+00,+4.000001E-01
+6.492000E-07,+4.640000E+00,+4.000001E-01
+6.512000E-07,+4.640000E+00,+4.000001E-01
+6.532000E-07,+4.640000E+00,+3.200001E-01
+6.552000E-07,+4.640000E+00,+3.200001E-01
+6.572000E-07,+4.640000E+00,+3.200001E-01
+6.592000E-07,+4.720000E+00,+3.200001E-01
+6.612000E-07,+4.640000E+00,+2.400001E-01
+6.632000E-07,+4.640000E+00,+2.400001E-01
+6.652000E-07,+4.640000E+00,+2.400001E-01
+6.672000E-07,+4.640000E+00,+1.600001E-01
+6.692000E-07,+4.640000E+00,+2.400001E-01
+6.712000E-07,+4.640000E+00,+2.400001E-01
+6.732000E-07,+4.640000E+00,+1.600001E-01
+6.752000E-07,+4.640000E+00,+8.000004E-02
+6.772000E-07,+4.640000E+00,+1.600001E-01
+6.792000E-07,+4.640000E+00,+1.600001E-01
+6.812000E-07,+4.640000E+00,+1.600001E-01
+6.832000E-07,+4.640000E+00,+1.600001E-01
